acteur,ligne,sentiment
Chandler,"Oh, believe me, to survive this party, you're gonna have to come up with one too.",0.481
Monica,"All right, check me out.",0.0
Chandler,Okay.,0.2263
Doug,…says $30 Father; same as in town.,0.0
Chandler,Hey! Everybody at work loved you last night!,0.6688
Monica,Really?,0.0
Chandler,"And! They like me more just because I was with ya! I think you repaired a lot of the damage from when they met Joey. And Doug wants us to play tennis with them. He's never even talked to me outside of work. Except for that time when we bumped into each other at that strip club.  Strip church. Anyway, I'm gonna go try and find a racquet.",0.3147
Monica,"Hey, I thought you already had one.",0.0
Chandler,"Oh I used too, but then Joey thought it would be fun to go to Central Park and hit rocks at…bigger rocks.  Hey Rach, do you have a tennis racquet?",0.6652
Rachel,"Oh umm, y'know I lent it to Joey and I never actually got it back.",0.0
Chandler,"Okay, good luck with that.",0.7783
Rachel,Hey!,0.0
Monica,Hi!,0.0
Rachel,What's up?!,0.0
Monica,What are you doing here? I thought you had to do inventory all day.,0.0
Rachel,"Well yeah, I do, but I decided to take a long lunch and spend some time with my friend Monica. Y'know I-I feel that we don't talk anymore. How are you? What is new with you?",0.7789
Monica,"Uhh, not much. Uh, work's good.",0.4404
Rachel,"Oh y'know what, we don’t have to talk about work. We can talk about anything!",0.0
Monica,Okay. Umm…,0.2263
Rachel,Hey! Y'know what? Let's talk about relationships!,0.0
Monica,"Okay, what's going on with you?",0.2263
Rachel,Nothing! You go!,0.0
Monica,"Well, I-I—there was this guy at the bank that I thought was cute umm, but I don't anymore.",0.3716
Rachel,"Wow that's uh, juicy. Umm,  y'know what though Mon, I actually do have a lot of work to do so if-if—are you sure there's just not anything else?",0.7479
Monica,"Yes, I'm sure! Rachel is there something that you want to talk me about?",0.68
Rachel,No!   If there was I wouldn't tell you.,-0.3595
Phoebe,"Okay, then what happened?",0.2263
Phoebe,Ohh. Uh-huh. Uh-huh.  You'll get your turn!,0.0
Ross,"Hey Pheebs, what's going on?",0.0
Phoebe,Nothing!   This is not over!,0.0
Ross,No! No! No!,-0.7562
Phoebe,What?!,0.0
Ross,"I was up all night writing this really nasty letter to Emily! It was perfect and now it's all covered in-in…  Actually, thanks!",0.5091
Joey,All right! Everybody ready to go to the movies?,0.4199
Ross,"Uh actually, I think I'm gonna skip it.",0.0
Joey,Really?,0.0
Ross,"Yeah, I'm gonna stay and read my book. I just wanna be alone right now.",0.0516
Joey,"Oh. Are you sure you don't want to come? Tom Hanks, Meg Ryan, they get mail and stuff.",0.2681
Ross,"That's okay, Joe.",0.2263
Joey,"All right, let's go Pheebs.",0.0
Ross,Oh God!,0.3382
Doug,Bing!,0.0
Kara,Oww!!,0.0
Monica,Game!,0.0
Doug,"Well, I gotta tell ya Bing; that partner of yours is a real tiger.  Are you all right sweethart?",0.2732
Kara,I'm not all right.,0.0
Doug,"We're, we're just gonna get a little sip of water.",0.0
Monica,"Am I on fire today or what?! Those birds are browned, basted, and ready to be carved!",0.1739
Chandler,"Okay, easy Martina. I think we should let them win the next game.",0.8225
Monica,"I'm sorry, I don't understand what you just said.",-0.0772
Chandler,Let them win one.,0.5859
Monica,"Are you crazy?! We own those two! I mean look at 'um, he can't breath and she's popping pills.",0.0
Chandler,You're not even giving them a chance!,-0.0844
Monica,They have racquets don't they?!,0.0
Doug,"Uh Bing, I think we're gonna make this the last game.",0.0
Chandler,"Oh yes, sir! Put me out of my misery. Are you sure you never played pro?   Please let them win!",0.3991
Monica,I'll take it down to 95% but that's the best I can do.,0.7783
Chandler,"Oopsey, missed it!",-0.3595
Monica,I got it!,0.0
Doug,Nice shot.,0.4215
Monica,I got it!!,0.0
Chandler,Long!,0.0
Monica,I can't believe you let them win!,0.6239
Chandler,"Yeah, at least you hid your feelings well about it.",0.4404
Monica,I was frustrated.,-0.5267
Chandler,It was my racquet.,0.0
Monica,I was frustrated with you!,-0.5707
Chandler,If we hadn't lost the game they never would've invented us to dinner tomorrow night.,0.2411
Monica,"Y'know what really bothers me? Is—it's how-how different you act around them! I mean y'know the throwing the tennis games, the fake laugh, the ""I'll see you around, Bing!"" ""Not if I see you first, Doug!""  I gotta tell you, I don't like Work Chandler. Okay? The guy's a suck-up.",-0.4659
Chandler,"Okay y'know what, because you said that, I'm not putting out tonight.",0.2263
Monica,"I'm telling you, something's wrong! My brother does not stay out all night.",-0.5255
Joey,Maybe we should check the trash chute.,0.0
Rachel,Ross couldn't fit down the trash chute.,-0.2755
Joey,"That's right, he almost could. Which is exactly how I got stuck there.",-0.25
Phoebe,Hey!,0.0
Rachel,There he is!,0.0
Monica,Oh my God!  Where the hell have you been?!!,-0.6571
Ross,"Just, y'know out.",0.0
Rachel,"Ohh, out, oh God, I don't know why we didn't think to check there!",0.3382
Phoebe,What were you doing?,0.0
Ross,"I uh, went to a bar. And then I just uh, just walked around for a while.",0.0
Rachel,You walked around all night in the city by yourself?,0.0
Joey,He hooked up! He hooked up with someone.,0.0
Ross,"Look, I don't have to answer your questions! Okay? I'm a big boy, I can do whatever I want!",0.4184
Joey,He hooked up!! Tell us about her!,0.0
Janice,Ross you left you scarf in… Hey you guys.,0.0
Janice,Uh-oh-okay. Uh-oh-okay. I know what you all are thinking. But Chandler is in Yemen! I'm a young woman! I have needs! I can't wait forever!,0.0
Rachel,Yeah! No that's what I was thinking.,0.0
Janice,"So I'm asking you please, take a moment before you judge me.",0.3182
Phoebe,"Oh, nobody's judging you.",0.0
Janice,"Oh! Okay!  You, Mister Right Place at the Right Time, call me!",0.4168
Ross,"Okay, look, I-I know what you guys are going to say…",0.2263
Phoebe,You two will have very hairy children.,0.0
Ross,"Okay, I didn't know you would say that.",0.2263
Rachel,Ross! Janice?!,0.0
Joey,"All right, hold on! Hold on. Hold on. This is Ross, okay? He's our friend. He obviously went crazy. He obviously lost his mind.",0.1759
Ross,"Look, I didn't lose my mind! Okay, Janice and I have a lot in common! We've-we've both been divorced. We-we both have kids.",0.5778
Phoebe,So are you actually gonna see her again?,0.0
Joey,Phoebe! Don't put ideas in his head!,0.0
Ross,I am gonna see her again.,0.0
Joey,Damnit Phoebe!!,-0.6103
Rachel,"Okay, I have to tell you something that I have never admitted during our entire friendship! But, when we were in high school I made out with James Farrell even when I knew that you liked him! Wow, that feels so good to get off my chest! Okay, you go!",0.9673
Monica,My turn? What-what are you talking about?,0.0
Rachel,"Ugh, Monica, I know about you and Chandler.",-0.4215
Monica,What?!,0.0
Rachel,"I overheard you guys on the phone the other day, and you said, ""I'll just tell Rachel that I'm doing laundry for a couple of hours."" And he said, ""Laundry? Is that my new nickname?"" And you said, ""No! You know what your nickname is, Mr. Big.""",0.0
Monica,Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,0.8689
Rachel,"Well, I wouldn't know because I got so freaked out that I hung up the phone.",-0.1941
Monica,"Well, if you had kept listening, you-you would have heard me call him Mr. Big……ot.",0.2732
Rachel,What?!,0.0
Monica,Mr. Bigot. He tells the most racist jokes.,-0.4615
Rachel,All right. So you're telling me that there is nothing going on between you and Chandler.,0.0
Monica,Me and Chandler?!,0.0
Joey,"All right, put your 20 bucks down. First one to find the tasty treat wins. Okay?",0.8074
Phoebe,Uh-hmm.,0.0
Joey,All right. Let's get the contestants out of their isolation booths.  And they're off!,-0.4574
Phoebe,Get your foot off my contestant! Judge!,0.0
Joey,"Judge rules, no violation.",-0.6597
Phoebe,Ohhh.,0.0
Ross,Hey guys!,0.0
Phoebe,Hey!,0.0
Joey,Yeah!,0.3595
Ross,"Y'know what? It sounds so weird to say this but, I just had a great day with Janice!",0.7447
Joey,What?!,0.0
Phoebe,Are you serious?!,0.0
Ross,Yeah! I opened up to her about all the terrible stuff that's been happening to me. I mean I talked for hours.  It is amazing to have someone give you such-such focused attention.,0.6996
Phoebe,"You don't need Janice for that, you've got us. We…",0.0
Joey,And the duck gets the Nutter-Butter!,0.0
Phoebe,"No!! Hey-hey that's not a Nutter-Butter, that's just an old Wonton!",-0.4724
Joey,"Judge rules, Nutter-Butter.",0.0
Phoebe,"Ohh, tough call.",-0.128
Joey,Yeah.,0.296
Doug,"But seriously, I believe that we should all support President Clinton. And her husband Bill.",0.3612
Kara,So how do you kids like your coffee?,0.3612
Monica,"Oh, none for me. Thanks.",-0.3412
Chandler,Just a little bit of sugar.,0.0
Doug,"Well, maybe I'll bring it out and have Monica stick her finger in it. That oughta sweeten it up, huh?",0.2732
Monica,How does that laugh not give you a headache?,0.5574
Chandler,"Oh, you get used to it.",0.0
Monica,"Y'know, I-I-I don't think that I can. So if you don't mind, maybe this will be it for me on the work things.",0.0
Chandler,"So I laugh at my boss's jokes, what's the big deal?",0.7089
Monica,I'd rather hang out with a sniveling work weasel guy when I can be hanging out with my boyfriend who I actually respect.,0.4767
Chandler,Oh.,0.0
Doug,"Uh, I gotta apologize for Kara's coffee. Y'know, I feel sorry for it if it ever got in a fight, it's not strong enough to defend itself.  Did you hear what I said Bing?",-0.6372
Chandler,What?,0.0
Doug,The joke Bing. What's the matter with you?,0.3182
Chandler,"Well, I-I just didn't think it was funny sir.",0.6124
Doug,Excuse me?,0.0772
Chandler,"Well, I just…",0.2732
Monica,"Honey, I just don't think that you understood the joke.",0.296
Chandler,Really?,0.0
Monica,"Yeah! I mean it was really funny, I-I just don't think you got it. You see Kara's coffee is-is-is weak tasting, okay? But-but what Doug was-was imply that it was weak physically. You get it now honey?",0.2835
Chandler,"I think I do!  Thank you, Monica.",0.4199
Monica,I thought you could use the help.,0.4019
Chandler,Coffee in a fight!,-0.4389
Joey,"Hey Rach! Hey, you mind if I read my comic books in here?",0.0
Rachel,Sure! Why?,0.3802
Joey,"Oh well, Chandler and Monica are over there and it's kinda hard to concentrate.",0.2484
Rachel,What?! She just called and said that she was gonna be working late! She keeps lying to me! That's it! Y'know what? I'm just gonna go over there and confront them right now!,-0.7669
Chandler,"All right, so you're telling me that I have to tell racist jokes now?!",-0.5093
Monica,Sorry! I'm just—I'm not very good at this! I'm a terrible liar and I hate having to lie to Rachel!,-0.9313
Chandler,But we're not ready to tell yet!,-0.451
Monica,I know! It's just that…ever since high school Rachel was the one person I told everything too. Y'know? I miss that so much now. She's my best friend.,0.7959
Monica,"Joey?! Oh my God, Rachel!",0.3987
Rachel,Hey! Hi!,0.0
Monica,Wh-wh-what are you doing here? (She tries to pull her shirt down to cover the fact that she's wearing men's boxers.],0.0
Rachel,"Well, I was actually—I-I came over here to-to borrow this lamp. To umm, look at my books, y'know, see them a little better.",0.5729
Monica,Okay great!,0.7424
Rachel,Yeah!,0.3595
Monica,"Great! Umm, well what-what I was doing in Chandler's room is that umm, I was cleaning it! In fact, he pays me to clean it!",0.8682
Rachel,Oh! What a great way to earn some extra pocket money.,0.6588
Monica,"Y'know when I said to you earlier that I was at work umm, I'm at my new work.",0.0
Rachel,"That's good enough. Right?  Okay, well umm, I'm gonna go look at my books!",0.7345
Monica,Okay.,0.2263
Rachel,Okay.,0.2263
Monica,I'll get back to my new job.,0.0
Rachel,'Kay.  Congratulations on your new job.,0.5994
Chandler,"Man, she is really gullible.",-0.4201
Gunther,Here you go.,0.0
Ross,Thanks!,0.4926
Janice,"Actually, I should get going.",0.0
Ross,"Are you sure? Because I can stay out as late as you want. I told you how I'm on sabbatical from work, right?",0.4515
Janice,Yes! Yes! You did!,0.7412
Ross,Oh…,0.0
Janice,What is wrong now?!,-0.5255
Ross,This isn't what I ordered! Man! Can anything go right in my life?! First my marriage falls apart and then…,0.0
Janice,"I know! I know! And then you lose your apartment! And then you lose your job! And then your ex-wife gets married so fast! And now the coffee—ahh!! Ross, we need to talk.",-0.7627
Ross,Okay. Sometimes I feel…,0.2263
Janice,"No-no-no, no. I'm going to talk. I believe that the sun has set on our day in the sun.",-0.296
Ross,Huh?,0.0
Janice,"You're a very sweet person Ross, umm, unfortunately I don't think I can take another second of you whining!!",-0.1508
Ross,"Let-let me make sure I'm hearing this right, you're ending this with me because I'm too whiney?  So you're saying, I've become so whiney that I annoy you, Janice.",-0.6666
Janice,Well yeah!!,0.5972
Ross,OH…MY…GOD!!,0.0
Janice,Are you gonna be okay?,0.2263
Ross,I am now.,0.0
Janice,Okay.,0.2263
Joey,"Umm, hi.",0.0
Janice,"Oh hi! Well, I guess that's two out of three, Joey.",0.3382
Ross,"Dude, we got to talk.",0.0
Chandler,Okay.,0.2263
Ross,"I just wanted to tell you something before you heard it from someone else and I hope this isn't too weird, but uh, I had uh, a thing with Janice.  What you're-you're not mad?",0.6859
Chandler,Why would I be mad?,-0.4939
Ross,"Well, because y'know there are certain rules about this kind of stuff. You don't uh, you don't fool around with your uh, friend's ex-girlfriends or possible girlfriends or girls they're related to.",0.6814
Chandler,"I am mad! But you know what I'm gonna do? I'm gonna forgive you! Because that's what friends do! They forgive their friends when they do everything you just said, all on the list there. Well, but I want you to remember that I forgave you.",0.9616
Ross,Okay.,0.2263
Chandler,I also want you to remember that I let you live here rent free!,0.5983
Ross,All right.,0.0
Chandler,"And, I want you to remember that I gave you twenty  seven dollars. No strings attached. Now, if you can't remember that, I think we should write it down—let's write it down! End",-0.2942
Monica,I can't believe we've never done this before! It's sooo good! So good for Monica!,0.7701
Chandler,"Oh! Look at that, time's up! My turn!",0.0
Monica,That was a half an hour?,0.0
Chandler,It's your timer.,0.0
Monica,"Y'know, I don't like to brag about it, but I give the best massages!",0.7606
Chandler,"All right, then massage me up right nice!",0.4753
Chandler,Ah! Ahh!! Ahh!!,0.0
Monica,"It's so good, isn't it?",0.4927
Chandler,It's so good I don't know what I've done to deserve it!,0.54
Monica,Say good-bye to sore muscles!,-0.4199
Chandler,Good-bye muscles!! Opening Credits,0.4738
Chandler,"I'm telling you, she gives the worst massages ever!! Okay, it was like she was torturing me for information. And I wanted to give it up I just—I didn't know what it was!",-0.7633
Joey,"Chandler, if it really hurts that bad you should just tell her.",-0.7996
Chandler,"Look, for the first time in my life I'm in a real relationship. Okay, I'm not gonna screw that up by y'know, telling the truth.",0.5417
Ross,Hey.,0.0
Joey,"Whoa, dude, look out! You almost crushed my hat!",-0.4751
Ross,Sorry.,-0.0772
Chandler,And the bunny got away.,0.0
Ross,This would be the place where you explain the hat.,0.0
Joey,"Oh! Yeah, look there's this play all right? And I'm up for the part of this real cool like suave international guy. A real clothes horse. So I figure that everyone at the audition is gonna be wearing this kinda y'know, ultra-hip, high fashion stuff.",0.901
Chandler,And you're gonna make them all disappear.,-0.2263
Joey,"Yeah, like you could find something as sophisticated as this.",0.8074
Chandler,Done.,0.0
Rachel,"Joey, if you wanna look good, why don't you just come down to the store? I'll help you out.",0.6808
Joey,"Great! Thanks, Rach!",0.8217
Rachel,"Sure!  God, please take those off!",0.7418
Joey,All right.,0.0
Ross,"Hey Pheebs, how's it going?",0.0
Chandler,Hey.,0.0
Phoebe,"Hey! Umm, well, only okay because I just got back from, from the hospital.",0.5093
Rachel,What?,0.0
Ross,Is everything okay?,0.2263
Joey,Are you all right?,0.0
Phoebe,"Oh yeah, no-no-no. I'm fine. I'm okay, but umm, my Grandma sorta died.",-0.4607
Joey,Pheebs! Sorry!,-0.2225
Phoebe,"It's okay, I mean she had a really incredible life. And it's not like I'm never gonna see her again, y'know she's gonna visit.",-0.0541
Rachel,"Well maybe, maybe she's with us right now?",0.2732
Phoebe,"Yeah, her first day on a new spiritual plane and she's gonna come to the coffeehouse!",0.3595
Monica,Guys! Guys! I just saw two people having sex in a car right outside.,0.0
Ross,"Uhh, Pheebs' Grandmother just died.",-0.5574
Monica,"Ohh my God, I'm so sorry.",0.1298
Phoebe,"It's okay. Actually y'know what, it's kinda cool. 'Cause it's like y'know, one life ends and another begins.",0.6605
Monica,"Not the way they're doing it. What, what happened? How did she die?",-0.644
Phoebe,"Well umm, okay we were in the market and she bent down to get some yogurt and she just never came back up again.",0.4588
Joey,"Pheebs, I'm so sorry.",-0.188
Phoebe,"It was really sweet. The last thing she said to me was; ""Okay dear, you go get the eggs and I'm gonna get the yogurt and we'll meet at the checkout counter."" And y'know what? We will meet at the checkout counter.",0.7778
Rachel,"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",0.2263
Joey,"All right, then you'd better show me some of that too then.",0.4404
Rachel,"Okay, it's missing something. Ooh, I know! Umm, okay.",0.2244
Joey,Really? A purse?,0.0
Rachel,It's not a purse! It's a shoulder bag.,0.0
Joey,It looks like a women's purse.,0.3612
Rachel,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look, men, carrying the bag.",0.2732
Joey,"See look, women, carrying the bag.  But it is odd how a women's purse looks good on me, a man.",0.2263
Rachel,Exactly! Unisex!,0.0
Joey,Maybe you need sex. I had sex a couple days ago.,0.0
Rachel,No! No Joey! U-N-I-sex.,-0.6103
Joey,"Well, I ain't gonna say no to that.",0.4567
Ursula,Who is it?,0.0
Phoebe,It's Phoebe.,0.0
Ursula,"Oh great!   Oh, you. Umm, what's up?",0.6588
Phoebe,"Umm, well I sorta have some bad news, can I come in?",-0.2815
Ursula,"Umm, yeah—no thanks.",0.4404
Phoebe,"Umm, well, umm Grandma died.",-0.3612
Ursula,Wow! Didn't she die like five years ago?,0.7293
Phoebe,"No, she just died today! Okay, umm, we're having a memorial service tomorrow.",-0.636
Ursula,"Okay, I know that I went to that all ready.",0.5267
Phoebe,No you didn't!,-0.3595
Ursula,"Well, then who's been dead for five years?",-0.4939
Phoebe,"Well, lots of people! Look, are you coming to memorial service or not?",0.3382
Ursula,"Umm, no. See I already thought she was dead so I kinda made my peace with it. Plus, I'm going to a concert tomorrow. So… I'd invite you, but umm, I only have two tickets left.",-0.21
Phoebe,"Fine. Okay, enjoy your concert.",0.7096
Ursula,Thanks! Enjoy your funeral.,0.5983
Joey,Hey!,0.0
Chandler,Hey!,0.0
Chandler,Wow! You look just like your son Mrs. Tribbiani!,0.7835
Joey,"What? Are you referring to my man's bag? At first, I thought it just looked good, but it's practical too. Check it out! It's got compartments for all your stuff! Your wallet! Your keys! Your address book!",0.5389
Ross,Your make-up!,0.0
Rachel,"Joey, what are you doing with the bag? You're audition is not until tomorrow.",0.0
Joey,"Yeah, but sandwich time is right now.",0.1531
Rachel,"Joey, y'know you get any mustard on that bag, you can't return it.",0.0
Joey,Why would I return it? I love this bag!,0.6696
Rachel,"All right, then you owe me $350.",0.0
Joey,Fine! Do you take Vasa or Mustercard?,0.2714
Rachel,Joey…,0.0
Joey,"All right relax, look I'll pay you with the money from the acting job I am definitely gonna get thanks to you.",0.7964
Ross,"What's the part, Anti-man?",0.0
Rachel,"Hey, don't listen to them. I think it's sexy.",0.5267
Joey,U-N-I-sexy?,0.0
Phoebe,"Well hello, Mrs. Penella! Thank you so much for coming! Well, okay look, here's your umm, 3-D glasses and Reverend Pong will tell you when to put them on.",0.8011
Rachel,Hi sweetie!,0.5411
Ross,"Hey, how are you holding up?",0.0
Joey,"Hey Pheebs, I'm so sorry.",-0.188
Phoebe,"Hey, y'know what? My Grandma had the exact same bag!",0.0
Joey,"Here, I brought you some flowers.",0.0
Phoebe,Thanks!,0.4926
Chandler,Pulling flowers out it makes the bag look a lot more masculine.,0.0
Man,"Oops, I'm sorry. Excuse me. Is this the umm, the memorial?",0.0
Phoebe,"Yeah, welcome.",0.6369
Man,Hello. Hello.,0.0
Phoebe,Umm here's your 3-D glasses.,0.0
Man,"Oh, umm, all right.",0.0
Phoebe,So how did you know Francis?,0.0
Man,"Well I actually, I-I really, I haven't seen her for years. But umm, well I-I was pretty tight with-with her and her daughter.",0.8176
Phoebe,Really?! What's your name?,0.0
Man,"Umm, Frank Buffay.",0.0
Phoebe,You're Frank Buffay? Frank Sr.: Shh!  No! Joe Hill!,-0.4724
Phoebe,"You just said… Frank Sr.: Y'know what, I gotta go. And thank you so much for coming.",0.3612
Phoebe,But…,0.0
Phoebe,Oh my God!,0.3382
Monica,What?! What honey?,0.0
Ross,What happened?,0.0
Phoebe,That was my dad!,0.0
Chandler,Oh my God!,0.3382
Joey,"Hey you guys, check it out. Check it out.  It's like it's coming right at me. Commercial Break",0.3612
Monica,"Oh, did you catch him?!",0.0
Phoebe,Uh-huh.,0.0
Ross,Wh-what did he say?!,0.0
Phoebe,"He said, ""Nice to meet you Glenda.""  Well, obviously I couldn't give him my real name?",0.5994
Rachel,Why?! Why not?!,0.0
Phoebe,"Come on, you saw the way he ran out of here! What do you think? He's gonna stick around and talk to the daughter he abandoned!",-0.555
Joey,What did you say to him?,0.0
Phoebe,"Well, I said, I told him y'know, that I was the executor person of Francis' will and that I needed to talk to him so I'm gonna meet him at the coffee house later.",0.2732
The Pastor,Could everyone please take their seats?,0.3182
Phoebe,"All right, well, I just can't think about that right now. I just wanna say good-bye to my Grandma.",0.2732
Rachel,Okay.,0.2263
Monica,"All right, let's go say good-bye.",0.0
Joey,Hey! I'm off to my audition. How do I look?,0.0
Rachel,"Ahhh, I think you look great! That bag is gonna get you that part.",0.6588
Chandler,And a date with a man!,0.0
Joey,"Y'know what? Make fun all you want. This is a great bag! Okay? And it's as handy as it is becoming. Now, just because you don't understand something, doesn't make it wrong. All right? So from now on you guys are gonna have to get used to the fact that Joey,  comes with a bag!",0.9228
Phoebe,"All right, I'd better go too. I have to go talk to my dad.",0.4404
Rachel,"Ooh, Pheebs, what are you gonna say? Are you gonna tell him who you are?",0.0
Phoebe,"Umm, no, not at first 'cause I-I don't want to freak him out",-0.0041
Ross,"Well, but aren't you pissed at him?! I mean this guy abandoned you! I gotta tell you if this were me, this guy would be in some serious physical danger!  I mean I-I-I'd walk in there and I'd be like, ""Yo, dad! You and me outside right now!""  I kinda scared myself.",-0.7412
Monica,"Well, at least you scared someone.",-0.2023
Phoebe,"Y'know it's funny, you'd think I'd be angry. I mean, you'd think I'd wanna rip his tiny little head off. Fortunately, I'm past it.",-0.1027
Monica,"Phoebe, you do seem a little tense. Here, let me help you.",0.1513
Phoebe,All right.,0.0
Phoebe,"Oh! Get off!! Ow!! Oh, stop it!! Why?! Why are you doing that to me?!",-0.5759
Monica,What are you talking about?,0.0
Phoebe,"As a masseuse and a human, I'm begging you, never do that to anyone!",0.0
Monica,I give good massages!  I used to give them to Rachel all the time before she got allergic! And-and-and Chandler loves them! Watch!,0.7627
Phoebe,He-he does not like it! He hates it! He's in pain!,-0.8476
Monica,No he's not!,-0.3595
Chandler,"Yes, he is!",0.4574
Monica,What?!,0.0
Chandler,"I'm sorry but, ow-owww-owww!",-0.1134
Monica,You've been lying to me? I can't believe you'd do that.,-0.5267
Ross,"Well, maybe he just didn't want to hurt your feelings.",0.5653
Monica,But the minute we start to lie to each other…  And by 'we' I mean society.,0.0
The Casting Director,"Any time you're ready, Joey.",0.3612
Joey,"Well, you must be new here. Why don't we get a table and I'll buy you a drink.",0.2732
The Casting Director,"I'm sorry. Could you, could you try it without the purse?",-0.0772
Joey,"Yeah, sure.  Well, you must be new here. Maybe we should—I'm sorry, can I ask you something?",0.6486
The Casting Director,Sure. What?,0.3182
Joey,"Well, first it's not a purse.",0.2732
The Casting Director,"Okay, anytime.",0.2263
Joey,"I mean if-if you're thinking it's a woman's bag, it's not. It's a man's bag!",0.0
The Casting Director,"Okayyyy! Anddd, go!",0.0
Joey,"All right look, let me show you the catalog!  See? Huh? It's the latest thing! Everyone's got one! Men! Women! Children! Everyone's carrying them!",0.0
The Casting Director,"Umm, do you sell these bags?",0.0
Joey,"Noooo. No-no-no, these babies sell themselves.",0.0
The Casting Director,Okay! Thank you! That was great!,0.8547
Joey,Yeah but I didn’t read anything.,0.1531
The Casting Director,I think we've seen enough!,0.0
Joey,"Okay! All right, I'll see ya.   We got it! We got it!",0.4168
Chandler,"Hey, is Rachel here?",0.0
Monica,No.,-0.296
Chandler,"Listen, I just wanted to apologize about this afternoon and the whole massage thing. Y'know? I-I really like 'em.",0.4927
Monica,"Oh, please, stop! Look, we're supposed to be honest with each other. I-I just wish you could tell me—just say, ""I don't like your massages.""",0.6465
Chandler,I don't like your massages.,-0.2755
Monica,See? It's no big deal.,-0.296
Chandler,"Okay, but now see you're crying!",-0.6114
Monica,I'm not crying about that! I'm crying about something that happened at work.,0.6597
Chandler,What?,0.0
Monica,My boyfriend said he didn't like my massages.,-0.2755
Chandler,"It's okay, you don't have to be the best at everything.",0.7269
Monica,Oh my God! You don't know me at all!,0.3987
Chandler,"Okay, you give the worst massages in the world.",-0.4939
Monica,I'm crying here!!,-0.5696
Chandler,"Okay, hear me out. Okay? You give the best bad massages. If anybody was looking for the best bad massage and they were thinking to themselves, ""Who's the best of that?"" They'd have to go to you.",0.8677
Monica,"Huh. So you're saying like umm, if there was an award for the best bad massage, well who would get that?",0.8428
Chandler,"Oh, it would be you! You! Monica! And you'd get all the votes!",0.0
Monica,"So maybe they could umm, call the award the Monica?",0.5423
Chandler,Absolutely!,0.0
Monica,Okay. I suck!,-0.3164
Chandler,Yeah!,0.3595
Phoebe,"Umm, thank you for meeting with me. Frank Sr.: Thank you. All right.",0.6124
Phoebe,"Come, sit.  Sit.  Sit!  Umm, all righty, before we get started I just—I need you to state for the official record that you are in fact Frank Buffay. Frank Sr.: Oh yes. Yes, yes, I am, uh-hmm.",0.8122
Phoebe,"Okay. Frank Sr.: So, what did Francis leave me?",0.1779
Phoebe,Huh?,0.0
